step, arokato, population, wealth 
0,AGE11101,35.061,9.291534601709618
0,AGE11104,18.646,3.63212952333245
0,AR82410,54.1,17.712897484616438
0,AGE04103,17.213,3.2247960913159748
0,AGE08105,42.068,12.183963807489985
0,AGE04105,19.58,3.906035670598912
0,AKA13104,22.986,4.958389875916441
0,AGE04108,139.778,72.69309776762593
0,AGE08104,17.907,3.4200845160798106
0,AKA13108,153.241,83.34847353463228
0,AGE04110,21.521,4.495698216943168
0,AGE04111,10.793,1.6105248415283833
0,AGE04107,22.702,4.867537588381219
0,AKA13101,22.743,4.88061955481705
0,AUZ08104,67.415,24.57155809734156
0,AGE08102,31.081,7.766910873797244
0,AR82415,11.2,1.7016883441939163
0,AR05414,69.48,25.699438165079425
0,AR82405,33.0,8.490849764273305
0,AKI02101,239.428,161.872244631184
0,AKA08103,113.346,53.22104749877498
0,AR82401,148.265,79.35468122380635
0,AGE12101,64.73,23.13008247098406
0,AR90401,164.4,92.5349709674707
0,AR90205501,15.2,2.6801475446856284
0,AR05401,372.968,312.9741348298369
0,AR05417,48.5,15.05567305654353
0,AR96234501,11.7,1.8159104181900287
0,AR96237501,11.9,1.8622756011339427
0,AR90235501,19.4,3.8527423042030424
0,AKA05105,13.897,2.3456433635921523
0,AKA011,464.322,433.5501184145733
0,AR82435,34.2,8.954169010982751
0,AKA05108,20.071,4.052621892507708
0,AR96401,251.75,174.41806554556177
0,AKA13106,38.152,10.535806607381586
0,AGE12103,14.023,2.377347914256389
0,AR96404,18.6,3.6188088847834976
0,AKA05101,11.147,1.689723993019837
0,AR83248501,12.8,2.075593187422251
0,AR83401,100.7,44.63353164092416
0,AR26405,13.9,2.346396611496507
0,AKA13103,38.108,10.517737614910983
0,AR03426,131.016,66.0196580249344
0,AKA08104,29.632,7.2344706399349885
0,AR83220501,12.4,1.9798503088962922
0,AR83410,28.8,6.934398904670454
0,AR90230501,25.6,5.819962109699879
0,AR05423,104.3,47.027577790006205
0,AR82430,25.6,5.819962109699879
0,AKA05104,14.072,2.389715083491596
0,AR07415,78.0,30.52440329595716
0,AR07427,192.67,117.1687926364377
0,AR91235501,11.5,1.7699300094835615
0,AR03432,36.7,9.9449315444812
0,AR07407,35.1,9.306912549082844
0,AR03233556000,14.152,2.409951517596672
0,AKA05102,12.434,1.987930702362963
0,AR05403,26.3,6.0582504233049965
0,AKA11206,13.963,2.362233112031609
0,AR91401,41.7,12.025762862481173
0,AR05210551,11.875,1.8564590255011717
0,AKA05201,13.266,2.188985726328924
0,AR052325511,11.024,1.662064517706618
0,AR07250501,11.5,1.7699300094835615
0,AR03205509,20.2,4.0914269891721196
0,AR03205501,29.8,7.295565847061047
0,AUA01118,63.463,22.459862861506192
0,AR03408,16.441,3.012028880795701
0,AR05407,16.9,3.1379585094456277
0,AUA27103,148.033,79.17004832806523
0,AR79401,86.806,35.78891716753773
0,AR05420,39.6,11.136075223729152
0,AR07424,39.8,11.21983850997578
0,AR03417,41.9,12.111657583184895
0,AUA01102,13.193,2.1710922280994875
0,AR03420,93.5,39.970320890049855
0,AUA01104,10.852,1.623638017993654
0,AR03406,35.9,9.62418922352832
0,AR07402,27.9,6.614529232711783
0,AKA05110,30.046,7.385329903563785
0,AKA11104,69.141,25.513144023519143
0,AR03243555,17.086,3.1894680467921703
0,AR03201553,15.691,2.8099362966129724
0,AR03201501,14.8,2.5759108541915166
0,AR03227501,24.3,5.385832670569252
0,AR03403,19.6,3.911971952422037
0,AKA05206,12.908,2.1016967563882627
0,AR03415,32.8,8.414417377574324
0,AUA01113,199.037,122.97443644172175
0,AR03405,111.0,51.590799193438876
0,AKA05109,48.104,14.873182606728601
0,AUA01116,46.327,14.063323132742395
0,AR03401,359.119,295.8450509862885
0,AR07401,141.0,73.64042832258409
0,AR03234501,23.971,5.277725009161571
0,AR07210501,14.9,2.6018428445286252
0,AR07258501,12.3,1.9561470602754858
0,AUA01112,18.122,3.4813437955864086
0,AUA01107,56.992,19.13954172309792
0,AR03257501,30.2,7.441706468726754
0,AKA05112,21.029,4.3436727548583
0,AR03423,39.0,10.886023368713154
0,AR03251501,22.2,4.708299937460977
0,AR07246501,24.3,5.385832670569252
0,AUA15109,48.103,14.872722696126186
0,AUA01109,98.769,43.366388741344146
0,AR07220501,11.1,1.679137267620211
0,AR03213501,20.3,4.121591731666772
0,AR85215501,10.8,1.6120788194201792
0,AKA05107,12.347,1.9672759333792504
0,AR03414,54.0,17.66421760750279
0,AUA15111,20.304,4.122799831108468
0,AUA15115,14.778,2.570217249966826
0,AR05411,32.1,8.14869521473324
0,AR03221501,18.2,3.50365604430791
0,AKA11204,13.393,2.220229978258514
0,AR07243501,16.5,3.028121076042589
0,AUA05107,20.199,4.091125708619917
0,AR03253501,19.0,3.7351753594923593
0,AUA15107,14.053,2.384917154472535
0,AR07222501,13.7,2.2963540012353825
0,AUA01106,28.457,6.811909585690401
0,AR03429,49.7,15.61310639675166
0,AKA11201,19.499,3.882023965874284
0,AMO01107,16.223,2.952813951451215
0,AR05408,25.4,5.752457381809827
0,AUA15102,11.344,1.7343345949101951
0,AR03241501,22.0,4.645343831025285
0,AMO01112,13.193,2.1710922280994875
0,AUA21102,14.42,2.478149540939617
0,AUA15105,21.832,4.592675785953679
0,AMO01116,14.361,2.463082307069857
0,AR85401,23.2,5.027211797490322
0,AMO01103,12.548,2.015102356098219
0,AR12401,295.8,221.69615753099407
0,AUA15114,675.418,757.0641411582675
0,AR60250501,36.0,9.664093297018093
0,AUA21103,10.772,1.6058658559503154
0,AUA21109,11.689,1.813371465571441
0,AUA21108,157.995,87.22363056722861
0,AR64415,32.9,8.452605258036861
0,AR64420,19.9,4.00136975745439
0,AR03411,55.3,18.300467202587914
0,AR60245501,10.7,1.5899258166498547
0,AUA08101,65.249,23.406482826274978
0,AUA21105,19.885,3.996884163453896
0,AKA11101,19.615,3.916426102205207
0,AUA21104,18.628,3.6269151894332756
0,AR08406,19.0,3.7351753594923593
0,AMO02108,105.785,48.026999026190204
0,AUA08109,94.67,40.71657129741524
0,AUA21101,10.507,1.5474556694898705
0,AKA09102,53.031,17.19479095950692
0,AR60218501,15.6,2.7857301762378253
0,AR64401,89.891,37.69714561419998
0,AUA14104,260.551,183.56488823547582
0,AKA06102,12.749,2.0633037194468424
0,AMO01113,216.005,138.8881525888123
0,AR64440,31.5,7.923168673126253
0,AUA14109,13.64,2.2814102983044937
0,AUA05132,291.426,216.83746338657176
0,AR60404,39.9,11.261797228133968
0,AKA06101,94.941,40.8900650273259
0,AMO01151,11.129,1.6856669261879542
0,AR60401,680.2,765.0508975944311
